type,busbar_name,existing_line_name,percentage
K,85-014.694-K-2,85-014.575-K-2-T2,24.137931034483056
K,85-014.679-K-2,85-014.575-K-2-T2,21.095334685598562
K,85-014.665-K-2,85-014.575-K-2-T2,18.255578093306248
K,85-014.651-K-2,85-014.575-K-2-T2,15.415821501014292
K,85-014.638-K-2,85-014.575-K-2-T2,12.778904665314517
K,85-014.626-K-2,85-014.575-K-2-T2,10.344827586206922
K,85-014.615-K-2,85-014.575-K-2-T2,8.113590263691865
K,85-014.604-K-2,85-014.575-K-2-T2,5.88235294117645
K,85-014.594-K-2,85-014.575-K-2-T2,3.853955375253573
K,85-014.585-K-2,85-014.575-K-2-T2,2.0283975659232367
K,85-014.577-K-2,85-014.575-K-2-T2,0.4056795131847194
K,85-014.570-K-2,84-014.298-K-2-L1,98.19494584837581
K,85-014.564-K-2,84-014.298-K-2-L1,96.02888086642626
K,85-014.559-K-2,84-014.298-K-2-L1,94.22382671480143
K,85-014.556-K-2,84-014.298-K-2-L1,93.14079422382665
K,85-014.554-K-2,84-014.298-K-2-L1,92.41877256317723
K,85-014.553-K-2,84-014.298-K-2-L1,92.05776173285251
K,85-014.552-K-2,84-014.298-K-2-L1,91.69675090252717
K,85-014.550-K-2,84-014.298-K-2-L1,90.97472924187775
K,85-014.547-K-2,84-014.298-K-2-L1,89.89169675090297
K,85-014.543-K-2,84-014.298-K-2-L1,88.44765342960285
K,85-014.538-K-2,84-014.298-K-2-L1,86.64259927797865
K,85-014.531-K-2,84-014.298-K-2-L1,84.11552346570438
K,85-014.523-K-2,84-014.298-K-2-L1,81.22743682310478
K,85-014.513-K-2,84-014.298-K-2-L1,77.61732851985576
K,85-014.502-K-2,84-014.298-K-2-L1,73.64620938628201
K,85-014.490-K-2,84-014.298-K-2-L1,69.31407942238292
K,85-014.477-K-2,84-014.298-K-2-L1,64.62093862815912
K,85-014.463-K-2,84-014.298-K-2-L1,59.56678700360997
K,85-014.448-K-2,84-014.298-K-2-L1,54.15162454873674
K,85-014.432-K-2,84-014.298-K-2-L1,48.37545126353816
K,85-014.415-K-2,84-014.298-K-2-L1,42.23826714801423
K,85-014.398-K-2,84-014.298-K-2-L1,36.10108303249094
K,85-014.380-K-2,84-014.298-K-2-L1,29.60288808664295
K,85-014.361-K-2,84-014.298-K-2-L1,22.743682310469595
K,85-014.342-K-2,84-014.298-K-2-L1,15.884476534296246
K,85-014.322-K-2,84-014.298-K-2-L1,8.664259927797545
K,85-014.301-K-2,84-014.298-K-2-L1,1.0830324909747733
K,85-014.280-K-2,82-014.249-K-1-V1,63.26530612244721
K,85-014.258-K-2,82-014.249-K-1-V1,18.367346938772773
K,85-014.236-K-2,82-014.149-K-2-1-GR2,87.00000000000028
K,85-014.213-K-2,82-014.149-K-2-1-GR2,63.99999999999915
K,85-014.190-K-2,82-014.149-K-2-1-GR2,40.99999999999979
K,85-014.166-K-2,82-014.149-K-2-1-GR2,17.000000000000995
K,85-014.142-K-2,85-013.763-K-2-T1,98.18652849740941
K,85-014.117-K-2,85-013.763-K-2-T1,91.70984455958593
K,85-014.092-K-2,85-013.763-K-2-T1,85.233160621762
K,85-014.066-K-2,85-013.763-K-2-T1,78.49740932642524
K,85-014.040-K-2,85-013.763-K-2-T1,71.76165803108803
K,85-014.013-K-2,85-013.763-K-2-T1,64.76683937823847
K,85-013.986-K-2,85-013.763-K-2-T1,57.772020725388906
K,85-013.958-K-2,85-013.763-K-2-T1,50.518134715026086
K,85-013.930-K-2,85-013.763-K-2-T1,43.26424870466325
K,85-013.902-K-2,85-013.763-K-2-T1,36.01036269430042
K,85-013.874-K-2,85-013.763-K-2-T1,28.756476683938047
K,85-013.846-K-2,85-013.763-K-2-T1,21.50259067357522
K,85-013.818-K-2,85-013.763-K-2-T1,14.248704663212388
K,85-013.790-K-2,85-013.763-K-2-T1,6.994818652849561
K,85-013.762-K-2,82-013.619-K-V--V2,99.30555555555594
K,85-013.734-K-2,82-013.619-K-V--V2,79.86111111111119
K,85-013.706-K-2,82-013.619-K-V--V2,60.416666666666444
K,85-013.678-K-2,82-013.619-K-V--V2,40.97222222222292
K,85-013.650-K-2,82-013.619-K-V--V2,21.527777777778162
K,85-013.622-K-2,82-013.619-K-V--V2,2.0833333333334108
K,85-013.594-K-2,85-013.328-K-2-T1,92.36111111111104
K,85-013.566-K-2,85-013.328-K-2-T1,82.63888888888927
K,85-013.538-K-2,85-013.328-K-2-T1,72.9166666666669
K,85-013.510-K-2,85-013.328-K-2-T1,63.19444444444452
K,85-013.482-K-2,85-013.328-K-2-T1,53.47222222222214
K,85-013.454-K-2,85-013.328-K-2-T1,43.750000000000384
K,85-013.426-K-2,85-013.328-K-2-T1,34.027777777778006
K,85-013.399-K-2,85-013.328-K-2-T1,24.65277777777766
K,85-013.372-K-2,85-013.328-K-2-T1,15.277777777777931
K,85-013.345-K-2,85-013.328-K-2-T1,5.902777777778201
K,85-013.318-K-2,84-013.204-K-2-L3,91.93548387096784
K,85-013.291-K-2,84-013.204-K-2-L3,70.16129032258112
K,85-013.264-K-2,84-013.204-K-2-L3,48.387096774193
K,85-013.237-K-2,84-013.204-K-2-L3,26.61290322580629
K,85-013.210-K-2,84-013.204-K-2-L3,4.838709677419586
K,85-013.183-K-2,86-012.991-K-3-B1,90.1408450704222
K,85-013.156-K-2,86-012.991-K-3-B1,77.46478873239445
K,85-013.129-K-2,86-012.991-K-3-B1,64.78873239436585
K,85-013.102-K-2,86-012.991-K-3-B1,52.1126760563381
K,85-013.075-K-2,86-012.991-K-3-B1,39.43661971830951
K,85-013.049-K-2,86-012.991-K-3-B1,27.230046948356605
K,85-013.023-K-2,86-012.991-K-3-B1,15.023474178403701
K,85-012.997-K-2,86-012.991-K-3-B1,2.816901408450798
K,85-012.971-K-2,82-012.843-K-1-V3,86.48648648648674
K,85-012.945-K-2,82-012.843-K-1-V3,68.91891891891927
K,85-012.919-K-2,82-012.843-K-1-V3,51.3513513513518
K,85-012.894-K-2,82-012.843-K-1-V3,34.45945945945964
K,85-012.869-K-2,82-012.843-K-1-V3,17.567567567567473
K,85-012.844-K-2,82-012.843-K-1-V3,0.6756756756753026
K,85-012.820-K-2,82-012.804-K--1-2-GR1,41.02564102564138
K,85-012.796-K-2,86-012.781-K-5-4-R1,65.21739130434347
K,85-012.773-K-2,83-012.765-K-2-L2,49.99999999999445
K,85-012.750-K-2,83-012.435-K-0-BR4,95.74468085106402
K,85-012.728-K-2,83-012.435-K-0-BR4,89.0577507598785
K,85-012.706-K-2,83-012.435-K-0-BR4,82.370820668693
K,85-012.685-K-2,83-012.435-K-0-BR4,75.98784194528902
K,85-012.664-K-2,83-012.435-K-0-BR4,69.6048632218845
K,85-012.644-K-2,83-012.435-K-0-BR4,63.5258358662615
K,85-012.625-K-2,83-012.435-K-0-BR4,57.7507598784195
K,85-012.606-K-2,83-012.435-K-0-BR4,51.97568389057749
K,85-012.588-K-2,83-012.435-K-0-BR4,46.50455927051648
K,85-012.570-K-2,83-012.435-K-0-BR4,41.03343465045601
K,85-012.553-K-2,83-012.435-K-0-BR4,35.86626139817652
K,85-012.536-K-2,83-012.435-K-0-BR4,30.699088145896486
K,85-012.520-K-2,83-012.435-K-0-BR4,25.83586626139799
K,85-012.505-K-2,83-012.435-K-0-BR4,21.27659574468101
K,85-012.490-K-2,83-012.435-K-0-BR4,16.7173252279635
K,85-012.476-K-2,83-012.435-K-0-BR4,12.462006079027512
K,85-012.462-K-2,83-012.435-K-0-BR4,8.206686930090985
K,85-012.449-K-2,83-012.435-K-0-BR4,4.255319148935986
K,85-012.437-K-2,83-012.435-K-0-BR4,0.6079027355619753
K,85-012.425-K-2,83-012.200-K-0-BR4,95.74468085106395
K,85-012.414-K-2,83-012.200-K-0-BR4,91.06382978723376
K,85-012.404-K-2,83-012.200-K-0-BR4,86.80851063829769
K,85-012.395-K-2,83-012.200-K-0-BR4,82.97872340425502
K,85-012.387-K-2,83-012.200-K-0-BR4,79.57446808510646
K,85-012.380-K-2,83-012.200-K-0-BR4,76.59574468085131
K,85-012.374-K-2,83-012.200-K-0-BR4,74.04255319148952
K,85-012.370-K-2,83-012.200-K-0-BR4,72.34042553191449
K,85-012.367-K-2,83-012.200-K-0-BR4,71.06382978723435
K,85-012.365-K-2,83-012.200-K-0-BR4,70.21276595744685
K,85-012.364-K-2,83-012.200-K-0-BR4,69.78723404255346
K,85-012.363-K-2,83-012.200-K-0-BR4,69.36170212765933
K,85-012.361-K-2,83-012.200-K-0-BR4,68.51063829787257
K,85-012.358-K-2,83-012.200-K-0-BR4,67.23404255319167
K,85-012.353-K-2,83-012.200-K-0-BR4,65.10638297872326
K,85-012.347-K-2,83-012.200-K-0-BR4,62.55319148936148
K,85-012.339-K-2,83-012.200-K-0-BR4,59.14893617021294
K,85-012.330-K-2,83-012.200-K-0-BR4,55.31914893617026
K,85-012.320-K-2,83-012.200-K-0-BR4,51.063829787234205
