id,km,BTR,spor,koerledning_pos,retur_pos
45373,12.728,85,Nordgaaende,85-012.728-K-2,85-012.728-R-2
45367,12.706,85,Nordgaaende,85-012.706-K-2,85-012.706-R-2
45361,12.685,85,Nordgaaende,85-012.685-K-2,85-012.685-R-2
45355,12.664,85,Nordgaaende,85-012.664-K-2,85-012.664-R-2
45349,12.644,85,Nordgaaende,85-012.644-K-2,85-012.644-R-2
45343,12.625,85,Nordgaaende,85-012.625-K-2,85-012.625-R-2
45337,12.606,85,Nordgaaende,85-012.606-K-2,85-012.606-R-2
45331,12.588,85,Nordgaaende,85-012.588-K-2,85-012.588-R-2
45325,12.57,85,Nordgaaende,85-012.570-K-2,85-012.570-R-2
45319,12.553,85,Nordgaaende,85-012.553-K-2,85-012.553-R-2
45313,12.536,85,Nordgaaende,85-012.536-K-2,85-012.536-R-2
45307,12.52,85,Nordgaaende,85-012.520-K-2,85-012.520-R-2
45301,12.505,85,Nordgaaende,85-012.505-K-2,85-012.505-R-2
45295,12.49,85,Nordgaaende,85-012.490-K-2,85-012.490-R-2
45289,12.476,85,Nordgaaende,85-012.476-K-2,85-012.476-R-2
45283,12.462,85,Nordgaaende,85-012.462-K-2,85-012.462-R-2
45277,12.449,85,Nordgaaende,85-012.449-K-2,85-012.449-R-2
45271,12.437,85,Nordgaaende,85-012.437-K-2,85-012.437-R-2
45265,12.425,85,Nordgaaende,85-012.425-K-2,85-012.425-R-2
45259,12.414,85,Nordgaaende,85-012.414-K-2,85-012.414-R-2
45253,12.404,85,Nordgaaende,85-012.404-K-2,85-012.404-R-2
45247,12.395,85,Nordgaaende,85-012.395-K-2,85-012.395-R-2
45241,12.387,85,Nordgaaende,85-012.387-K-2,85-012.387-R-2
45235,12.38,85,Nordgaaende,85-012.380-K-2,85-012.380-R-2
45229,12.374,85,Nordgaaende,85-012.374-K-2,85-012.374-R-2
45223,12.37,85,Nordgaaende,85-012.370-K-2,85-012.370-R-2
45217,12.367,85,Nordgaaende,85-012.367-K-2,85-012.367-R-2
45211,12.365,85,Nordgaaende,85-012.365-K-2,85-012.365-R-2
45085,12.364,85,Nordgaaende,85-012.364-K-2,85-012.364-R-2
45079,12.363,85,Nordgaaende,85-012.363-K-2,85-012.363-R-2
45073,12.361,85,Nordgaaende,85-012.361-K-2,85-012.361-R-2
45067,12.358,85,Nordgaaende,85-012.358-K-2,85-012.358-R-2
45061,12.353,85,Nordgaaende,85-012.353-K-2,85-012.353-R-2
