busbar_name,type [R or K],busbar_kilometering [km],current [kA]
81-018.025-K-3-B2-B2-Fødekobler,K,18.025,0.0
81-018.081-K-4-R1-R1-Fødekobler,K,18.081,0.0
81-018.937-K-3-B3-B2-31-BB,K,18.937,0.0
81-018.937-K-4-R1-R2-32-BB,K,18.937,0.0
81-019.273-K-10-GR1-R2-94-BB,K,19.273,0.0
81-019.760-K-12-B2-B1-91-BB,K,19.76,0.0
81-019.760-K-12-R2-B1-92-BB,K,19.76,0.0
81-019.800-K-11/12-B1-BB,K,19.8,0.0
81-020.080-K-13-B1-BB,K,20.08,0.0
81-020.080-K-14-B1-BB,K,20.08,0.0
81-020.080-K-15-B1-BB,K,20.08,0.0
81-020.080-K-16-B1-BB,K,20.08,0.0
85-016.430-K-3-R1-R1,K,16.43,-1738.5136866852426
85-017.778-K-1-GR2-GR2,K,17.778,-1738.5136311204544
85-018.039-K-2-V1-V1-Fødekobler,K,18.039,-1738.5136586498932
85-018.383-K-3-GR3-R1-93,K,18.383,-1738.513686839576
85-018.418-K-1-GR2-GR3-91,K,18.418,-1738.5116317686175
85-018.418-K-2-V2-V2-92,K,18.418,-1738.513163688388
85-018.418-K-2/3-GR3-GR3-91/92,K,18.418,0.0
85-018.672-K-2-new_busbar,K,18.672,-1738.512325379327
85-019.314-K-1-V1-GR2-GR1-31,K,19.314,-1738.5088328456766
85-019.314-K-2-V1-V2-32,K,19.314,-1738.5114414906798
85-020.384-K-1-GR1-GR1,K,20.384,-1738.5032624109706
85-020.384-K-2-V2-V2,K,20.384,-1738.5052360491268
85-023.717-K-1-GR1-GR1,K,23.717,-1738.4859118217046
85-023.717-K-2-V2-V2-82,K,23.717,-1738.4859074433211
85-023.723-K-1-GR1-BR2-81,K,23.723,-1738.48537157327
85-023.723-K-2-V1-L1-82,K,23.723,-1738.4854252507491
81-003.243-K-3-B2-B1-BB,K,3.243,-1738.6452039112698
81-004.717-K-4-R2-R2-BB,K,4.717,-1738.6452038072996
81-004.743-K-4-O1-B1-83-Fødekobler,K,4.743,-1738.6452039086794
81-004.743-K-4-T1-R2-84-Fødekobler,K,4.743,-1738.645204161854
81-007.852-K-3-O1-GR2-81-Fødekobler,K,7.852,-1738.6452003705813
81-007.852-K-4-T1-V1-82-Fødekobler,K,7.852,-1738.6452023928005
83-004.800-K-1-O1-O1-BB,K,4.8,-1738.6452081588916
83-004.800-K-2-T1-T1-BB,K,4.8,-1738.645229232732
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1738.6452263862923
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1738.645230447888
83-007.116-K-1-O1-GR2-81,K,7.116,-1738.6452304683323
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1738.6452304697316
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1738.6452304737063
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1738.6452304737063
83-007.133-K-1/2-GR4-GR4,K,7.133,-1738.6452304586642
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1738.6452304589804
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1738.6452304589804
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0
83-007.290-K-2-V1-V1-BB,K,7.29,0.0
83-007.300-K-21-GR3-GR3,K,7.3,0.0
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0
83-007.588-K-21-GR3-GR3,K,7.588,0.0
83-007.715-K-1-GR2-GR1-31,K,7.715,0.0
83-007.715-K-2-V1-V2-32-BB,K,7.715,0.0
83-010.478-K-1-GR1-GR1-Fødekobler,K,10.478,0.0
83-010.478-K-2-V2-V2-Fødekobler,K,10.478,0.0
83-010.508-K-1-GR1-BR3-81,K,10.508,0.0
83-010.508-K-2-V2-L1-82-BB,K,10.508,0.0
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1738.645282093405
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1738.6452836430199
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1738.6452837654588
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1738.6452846024026
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1738.6452723447303
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1738.6452896783176
85-013.328-K-1-O4-O4-Fødekobler,K,13.328,-1738.5302199444193
85-013.328-K-2-T1-T1-Fødekobler,K,13.328,-1738.5302344877982
85-013.763-K-1-O4-O2-21,K,13.763,-1738.5285981745362
85-013.763-K-1-O4-O3-91-92,K,13.763,-1738.5285981745362
85-013.763-K-2-T1-T2-22,K,13.763,-1738.528642890538
85-014.575-K-1-O2-O1-31,K,14.575,-1738.5255711275483
85-014.575-K-2-T2-T3-32,K,14.575,-1738.5256721657768
85-017.777-K-1-O1-GR2-81-Fødekobler,K,17.777,-1738.5136354354893
85-017.778-K-2-T3-V1-82-Fødekobler,K,17.778,-1738.5139549123942
81-000.000-K-3-T5-T5-BB,K,0.0,-1738.5750617812002
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1738.579172010705
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1738.5785969940312
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1738.5783747268858
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1738.5750618693924
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1738.5788232828495
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1738.5750616480575
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1738.577825658827
81-000.320-K-10-T4-T4-BB,K,0.32,-1738.5750621277114
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1738.5750615953314
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1738.5805708133767
81-000.416-K-10-T4-T3-37-BB1,K,0.416,-1738.5749126490043
81-000.416-K-10-T4-T3-37-BB2,K,0.416,-1738.5748939087823
81-000.529-K-105-BR3-BR3-92-BB,K,0.529,-1738.5769709996373
81-000.529-K-114-R6-R6-92-BB,K,0.529,-1738.5740393700814
81-000.529-K-114-T3-T3-91-BB,K,0.529,-1738.574718002765
81-000.529-K-115-R6-R6-BB,K,0.529,-1738.5740394493619
81-000.558-K-3-BR3-BR2-34-BB,K,0.558,-1738.5770797317336
81-000.558-K-3-O2-O1-21-BB,K,0.558,-1738.5758261010787
81-000.558-K-3-O3-O2-35-BB,K,0.558,-1738.575828322618
81-000.558-K-3-R6-R6-91-BB,K,0.558,-1738.574644933701
81-000.589-K-4-L2-L3-22-BB,K,0.589,-1738.5768719481266
81-000.764-K-5-T2-T1-23-BB,K,0.764,-1738.5743246842526
81-000.764-K-6-BR3-BR4-24-BB,K,0.764,-1738.5760899392997
81-000.947-K-122-R6-R5-27-BB,K,0.947,-1738.5740395286407
81-001.123-K-131-R4-R4-BB,K,1.123,-1738.573444507804
81-001.195-K-6-BR4-BR5-28-BB,K,1.195,-1738.5744741188728
81-001.213-K-136-R5-R3-25-BB,K,1.213,-1738.5736257516721
81-001.285-K-131-R4-R4-71-Fødekobler,K,1.285,-1738.5734445385297
81-001.285-K-5-T1-T1-71-BB,K,1.285,-1738.5734594495968
81-001.396-K-4-L3-L4-26-BB,K,1.396,-1738.5742894015539
81-001.556-K-3-B3-B3-Fødekobler,K,1.556,-1738.5734999197562
81-001.556-K-3-O1-O1-Fødekobler,K,1.556,-1738.5736091944843
81-001.556-K-5-T1-T1-83-Fødekobler,K,1.556,-1738.5733451516328
81-001.585-K-137-R3-R3-72-BB,K,1.585,-1738.5730471567015
81-001.585-K-6-BR5-BR5-72-BB,K,1.585,-1738.5730120816495
81-001.590-K-6-BR5-BR5-Fødekobler,K,1.59,-1738.5729787688927
81-001.601-K-4-L4-L4-Fødekobler,K,1.601,-1738.5736334031835
81-001.608-K-3-O1-B3-81-BB,K,1.608,-1738.573554552189
81-001.608-K-5-T1-GR2-83-Fødekobler,K,1.608,-1738.5733336502155
81-001.644-K-4-L4-R1-82-Fødekobler,K,1.644,-1738.5735670410631
81-001.644-K-6-BR5-V1-84-Fødekobler,K,1.644,-1738.5725392381648
81-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1738.5733333763428
81-002.330-K-6-V1-V2-32-BB,K,2.33,-1738.5640450120757
81-002.711-K-2-V2-V3-34-BB,K,2.711,-1738.5593274452674
83-027.229-K-2-GR1-GR1-Fødekobler,K,27.229,0.0
83-027.258-K-1-T2-V1-82-Fødekobler,K,27.258,0.0
83-033.374-K-1-V1-V2-22-BB,K,33.374,0.0
83-033.805-K-1-V2-V2-Fødekobler,K,33.805,0.0
83-033.805-K-2-GR1-GR1-Fødekobler,K,33.805,0.0
85-005.768-K-2-BR2-BR2,K,5.768,-1738.5240121558104
85-006.125-K-1-L1-L1,K,6.125,-1738.5241208431285
85-006.145-K-1-L1-L2-32,K,6.145,-1738.524136786697
85-006.593-K-2-BR1-BR2-31,K,6.593,-1738.5242935179333
85-006.779-K-1-L2-L3-34,K,6.779,-1738.524642398233
85-009.238-K-2-new_busbar,K,9.238,-1738.5245747995186
